City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,49.66,66,0,12.66,clear sky
1,Butaritari,KI,3.0707,172.7902,82.62,77,47,18.12,scattered clouds
2,Hasaki,JP,35.7333,140.8333,45.28,38,6,18.07,clear sky
3,Paamiut,GL,61.994,-49.6678,6.37,90,100,7.49,light snow
4,Road Town,VG,18.4167,-64.6167,75.24,78,20,11.5,few clouds
5,Dubrovytsya,UA,51.5744,26.565,32.41,98,100,10.4,overcast clouds
6,Kolosovka,RU,56.4678,73.611,18.3,81,100,9.31,overcast clouds
7,Fallon,US,39.4735,-118.7774,42.28,39,48,1.72,scattered clouds
8,Hermanus,ZA,-34.4187,19.2345,63.81,70,1,18.03,clear sky
9,Proletariy,RU,58.4342,31.7046,10.11,93,67,10.04,broken clouds
10,Torbay,CA,47.6666,-52.7314,33.76,97,100,10.36,fog
11,Rikitea,PF,-23.1203,-134.9692,79.05,68,4,7.18,clear sky
12,Inhambane,MZ,-23.865,35.3833,78.15,72,98,9.6,overcast clouds
13,Vilhena,BR,-12.7406,-60.1458,69.12,96,100,2.93,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,50.11,66,0,2.3,clear sky
15,Qaanaaq,GL,77.484,-69.3632,1.17,70,100,6.51,overcast clouds
16,Leningradskiy,RU,69.3833,178.4167,-16.17,93,62,8.12,broken clouds
17,Jamestown,US,42.097,-79.2353,18.72,56,100,1.01,overcast clouds
18,Lorengau,PG,-2.0226,147.2712,85.05,63,96,8.52,overcast clouds
19,Gerash,IR,27.6652,54.1371,46.54,44,0,1.79,clear sky
20,Nanortalik,GL,60.1432,-45.2371,11.89,65,94,39.62,overcast clouds
21,Vila,PT,42.0304,-8.1588,39.7,85,89,4.5,overcast clouds
22,Ixtapa,MX,20.7,-105.2,65.84,86,8,1.68,clear sky
23,Port Alfred,ZA,-33.5906,26.891,68.86,81,94,8.63,light rain
24,Calabar,NG,4.9517,8.322,76.57,89,27,2.48,scattered clouds
25,Mataura,NZ,-46.1927,168.8643,58.48,37,10,3.56,clear sky
26,Aklavik,CA,68.2191,-135.0107,-21.28,91,6,17.49,clear sky
27,Amuntai,ID,-2.4177,115.2494,83.34,76,100,0.18,overcast clouds
28,Yellowknife,CA,62.456,-114.3525,-27.58,80,75,6.91,broken clouds
29,Cherskiy,RU,68.75,161.3,-29.61,96,10,4.25,clear sky
30,Urengoy,RU,65.9667,78.3667,11.97,96,100,8.16,light snow
31,Katsuura,JP,35.1333,140.3,47.19,42,96,12.48,overcast clouds
32,Tasiilaq,GL,65.6145,-37.6368,20.97,69,100,42.73,overcast clouds
33,Kavieng,PG,-2.5744,150.7967,83.88,69,100,5.82,overcast clouds
34,Constantine,DZ,36.365,6.6147,42.21,56,0,0.0,clear sky
35,Atuona,PF,-9.8,-139.0333,78.37,77,25,15.9,scattered clouds
36,Hobart,AU,-42.8794,147.3294,67.26,72,75,10.36,broken clouds
37,Carutapera,BR,-1.195,-46.02,75.69,94,100,5.53,overcast clouds
38,Vaini,TO,-21.2,-175.2,78.96,94,100,17.27,overcast clouds
39,Zhangjiakou,CN,40.81,114.8794,10.99,50,1,5.48,light snow
40,Erzin,TR,36.9559,36.2,39.72,71,0,2.51,clear sky
41,Cabo San Lucas,MX,22.8909,-109.9124,67.3,69,0,3.85,clear sky
42,Cidreira,BR,-30.1811,-50.2056,73.0,91,17,4.16,few clouds
43,Busselton,AU,-33.65,115.3333,85.95,30,14,6.62,few clouds
44,Castro,BR,-24.7911,-50.0119,64.72,98,64,3.78,broken clouds
45,Bambous Virieux,MU,-20.3428,57.7575,79.21,94,75,14.97,moderate rain
46,Kapaa,US,22.0752,-159.319,79.48,80,30,1.99,light rain
47,New Norfolk,AU,-42.7826,147.0587,66.9,51,97,1.99,overcast clouds
48,Avarua,CK,-21.2078,-159.775,82.45,78,75,11.5,broken clouds
49,Cuite,BR,-6.4836,-36.1536,69.85,79,5,12.33,clear sky
50,Hilo,US,19.7297,-155.09,77.25,94,27,9.33,scattered clouds
51,Acapulco,MX,16.8634,-99.8901,75.07,75,0,1.74,clear sky
52,Aguimes,ES,27.9054,-15.4461,63.66,34,0,4.61,clear sky
53,Constitucion,CL,-35.3333,-72.4167,58.6,88,2,12.21,clear sky
54,Aksu,CN,41.1231,80.2644,25.59,74,99,5.01,overcast clouds
55,Zyryanka,RU,65.75,150.85,-30.15,98,100,1.48,overcast clouds
56,Barrow,US,71.2906,-156.7887,-18.35,99,100,7.4,overcast clouds
57,Melilla,ES,35.2937,-2.9383,62.98,42,0,10.36,clear sky
58,Albany,US,42.6001,-73.9662,18.48,84,100,1.01,overcast clouds
59,Airai,TL,-8.9266,125.4092,71.62,69,100,2.1,overcast clouds
60,Nikolskoye,RU,59.7035,30.7861,18.39,88,99,11.95,overcast clouds
61,Simao,CN,22.7886,100.9748,60.15,63,0,3.15,clear sky
62,Safranbolu,TR,41.2508,32.6942,15.01,93,69,2.15,broken clouds
63,Iqaluit,CA,63.7506,-68.5145,-16.87,52,75,5.75,broken clouds
64,Bambanglipuro,ID,-7.95,110.2833,83.95,69,86,7.29,overcast clouds
65,Kavaratti,IN,10.5669,72.642,77.61,59,88,4.27,overcast clouds
66,Upernavik,GL,72.7868,-56.1549,2.25,97,100,10.54,overcast clouds
67,Jati,PK,24.3539,68.2671,61.05,57,0,4.9,clear sky
68,Micheweni,TZ,-4.9667,39.8333,79.0,83,98,4.07,overcast clouds
69,Ouesso,CG,1.6136,16.0517,68.2,51,80,1.77,broken clouds
70,Umm Lajj,SA,25.0213,37.2685,60.28,49,1,7.27,clear sky
71,Abu Samrah,SY,35.3029,37.1841,42.49,92,5,7.11,clear sky
72,Bengkulu,ID,-3.8004,102.2655,74.84,90,100,3.42,overcast clouds
73,College,US,64.8569,-147.8028,6.8,63,100,3.44,light shower snow
74,Gorontalo,ID,0.5412,123.0595,89.19,56,98,1.43,overcast clouds
75,Gimli,CA,50.6336,-96.9907,-12.57,70,99,6.91,overcast clouds
76,Kodiak,US,57.79,-152.4072,36.91,97,100,14.65,light rain
77,Namibe,AO,-15.1961,12.1522,70.79,70,16,6.55,few clouds
78,Arraial Do Cabo,BR,-22.9661,-42.0278,75.97,86,100,21.81,overcast clouds
79,Luderitz,NA,-26.6481,15.1594,67.84,73,86,4.43,overcast clouds
80,Kahului,US,20.8947,-156.47,78.84,82,19,5.99,few clouds
81,Ilulissat,GL,69.2167,-51.1,1.22,90,100,8.03,overcast clouds
82,Saint Anthony,US,45.0205,-93.218,4.6,72,21,1.99,few clouds
83,Tocopilla,CL,-22.092,-70.1979,71.1,67,2,10.38,clear sky
84,Kondinskoye,RU,59.6481,67.41,20.12,96,100,5.37,light snow
85,Grindavik,IS,63.8424,-22.4338,27.07,63,100,21.85,snow
86,Breytovo,RU,58.2993,37.8617,-2.42,100,100,2.33,overcast clouds
87,Ambilobe,MG,-13.2,49.05,75.42,92,100,10.65,light rain
88,Khatanga,RU,71.9667,102.5,-35.9,100,87,2.66,overcast clouds
89,Rockport,US,28.0206,-97.0544,43.0,75,0,3.0,clear sky
90,San Quintin,MX,30.4833,-115.95,57.06,57,2,3.27,clear sky
91,San Patricio,US,28.017,-97.5169,42.84,68,6,15.17,clear sky
92,Georgetown,MY,5.4112,100.3354,82.33,87,20,1.01,few clouds
93,Matagami,CA,49.7502,-77.6328,-8.86,98,100,1.43,overcast clouds
94,Linxia,CN,35.6003,103.2064,18.93,88,100,2.75,light snow
95,Klaksvik,FO,62.2266,-6.589,36.52,54,96,23.87,overcast clouds
96,Kropotkin,RU,45.4375,40.5756,29.59,95,91,13.29,snow
97,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.31,98,100,0.87,light rain
98,Nikolo-Pavlovskoye,RU,57.7831,60.0578,21.92,98,100,3.53,overcast clouds
99,Cape Town,ZA,-33.9258,18.4232,65.88,67,0,4.0,clear sky
100,Tautira,PF,-17.7333,-149.15,86.02,75,26,14.0,light rain
101,Katoro,TZ,-3.0203,31.8958,62.11,91,100,7.34,overcast clouds
102,Qaqortoq,GL,60.7167,-46.0333,3.61,52,6,22.15,clear sky
103,Kalmunai,LK,7.4167,81.8167,74.39,79,92,1.72,overcast clouds
104,Tiksi,RU,71.6872,128.8694,-22.13,98,72,7.34,broken clouds
105,Kendari,ID,-3.945,122.4989,83.62,73,100,5.39,overcast clouds
106,Kaitangata,NZ,-46.2817,169.8464,58.32,52,17,8.12,few clouds
107,Katherine,AU,-14.4667,132.2667,77.32,88,54,11.5,light rain
108,Notre-Dame-Du-Lac,CA,47.6136,-68.7964,9.25,96,100,6.51,light snow
109,Vestmannaeyjar,IS,63.4427,-20.2734,31.68,68,100,29.95,snow
110,Chokurdakh,RU,70.6333,147.9167,-30.32,100,14,1.57,few clouds
111,Kalaleh,IR,37.3807,55.4916,50.0,55,1,4.0,clear sky
112,Luwuk,ID,-0.9516,122.7875,86.25,65,98,3.44,overcast clouds
113,Fairbanks,US,64.8378,-147.7164,8.1,64,100,3.44,light shower snow
114,Tuktoyaktuk,CA,69.4541,-133.0374,-20.78,94,13,13.22,few clouds
115,Faanui,PF,-16.4833,-151.75,80.73,75,41,14.47,light rain
116,Santa Paula,US,34.3542,-119.0593,64.36,26,0,4.61,clear sky
117,Saskylakh,RU,71.9167,114.0833,-9.0,99,99,5.28,overcast clouds
118,Vanino,RU,49.0869,140.2543,11.66,65,100,8.39,overcast clouds
119,Sao Filipe,CV,14.8961,-24.4956,73.08,73,0,9.26,clear sky
120,Vao,NC,-22.6667,167.4833,80.28,87,100,11.88,moderate rain
121,Kantunilkin,MX,21.0917,-87.45,76.95,86,57,2.28,broken clouds
122,Vanimo,PG,-2.6741,141.3028,85.6,69,60,7.49,broken clouds
123,Erdenet,MN,49.0333,104.0833,-3.01,88,11,4.63,few clouds
124,Bilibino,RU,68.0546,166.4372,-4.97,79,0,4.54,clear sky
125,Bluff,NZ,-46.6,168.3333,58.8,56,60,5.53,broken clouds
126,Houston,US,29.7633,-95.3633,34.88,76,100,1.99,overcast clouds
127,Auki,SB,-8.7676,160.7034,84.4,74,100,7.74,overcast clouds
128,Homer,US,59.6425,-151.5483,32.04,84,59,4.99,broken clouds
129,Mahebourg,MU,-20.4081,57.7,79.25,94,75,14.97,broken clouds
130,Saint George,US,37.1041,-113.5841,44.44,26,0,3.44,clear sky
131,Sorland,NO,67.667,12.6934,31.46,75,100,27.09,light snow
132,Kruisfontein,ZA,-34.0033,24.7314,65.88,80,46,3.62,scattered clouds
133,Mtwara,TZ,-10.2667,40.1833,75.92,88,100,7.56,moderate rain
134,Bethel,US,41.3712,-73.414,31.05,85,100,7.9,overcast clouds
135,Wewak,PG,-3.5534,143.6268,86.41,67,99,13.22,overcast clouds
136,Uusikaupunki,FI,60.8004,21.4084,34.32,99,100,6.2,light snow
137,Karratha,AU,-20.7377,116.8463,93.47,50,39,17.11,scattered clouds
138,Srednekolymsk,RU,67.45,153.6833,-27.83,100,100,0.34,overcast clouds
139,Amot,NO,59.5714,7.9877,15.49,83,34,8.9,scattered clouds
140,Ponta Pora,BR,-22.5361,-55.7256,70.93,86,56,6.64,broken clouds
141,Bolshaya Rechka,RU,51.9503,104.7355,-9.13,81,93,1.1,overcast clouds
142,Dahra,DZ,36.2546,0.8519,51.53,50,100,1.43,overcast clouds
143,Ancud,CL,-41.8697,-73.8203,55.42,90,8,3.0,clear sky
144,Beyneu,KZ,45.3167,55.2,36.93,89,98,7.31,overcast clouds
145,Balsas,BR,-7.5325,-46.0356,76.62,80,97,3.02,overcast clouds
146,Tessalit,ML,20.1986,1.0114,57.56,18,0,10.51,clear sky
147,East London,ZA,-33.0153,27.9116,68.38,89,100,7.65,light rain
148,Tabuk,PH,17.4189,121.4443,73.99,82,93,7.05,overcast clouds
149,Diffa,NE,13.3154,12.6113,61.65,40,4,11.61,clear sky
150,Copiapo,CL,-27.3667,-70.3333,68.07,59,0,1.61,clear sky
151,Coquimbo,CL,-29.9533,-71.3436,66.88,76,0,0.56,clear sky
152,Espinosa,BR,-14.9261,-42.8192,70.56,87,100,4.0,overcast clouds
153,Chunoyar,RU,57.4467,97.3217,18.63,95,100,8.93,light snow
154,Ibra,OM,22.6906,58.5334,59.7,39,5,1.97,clear sky
155,Delray Beach,US,26.4615,-80.0728,74.01,87,0,1.01,clear sky
156,Udachnyy,RU,66.4167,112.4,-34.71,100,70,3.6,broken clouds
157,Yerbogachen,RU,61.2767,108.0108,-17.41,100,96,3.8,overcast clouds
158,Puerto Ayora,EC,-0.7393,-90.3518,75.54,91,75,5.01,broken clouds
159,Thompson,CA,55.7435,-97.8558,-16.44,69,0,5.75,clear sky
160,Bredasdorp,ZA,-34.5322,20.0403,63.72,68,61,6.91,broken clouds
161,Teahupoo,PF,-17.8333,-149.2667,80.56,75,32,15.01,light rain
162,Talnakh,RU,69.4865,88.3972,-6.95,97,91,4.97,overcast clouds
163,Sola,VU,-13.8833,167.55,82.51,77,100,21.65,overcast clouds
164,Chicama,PE,-7.8447,-79.1469,71.53,74,47,6.26,scattered clouds
165,Saint-Georges,GD,12.0564,-61.7485,76.82,72,1,10.38,clear sky
166,Nioro,GM,13.35,-15.75,75.15,12,0,3.78,clear sky
167,Estepa,ES,37.2926,-4.879,46.62,67,100,1.9,light rain
168,Krasnogorsk,RU,55.8225,37.3181,17.85,86,100,4.47,mist
169,Victoria,HK,22.2855,114.1577,60.24,76,100,1.01,overcast clouds
170,Ponta Delgada,PT,37.7333,-25.6667,59.5,77,20,9.22,few clouds
171,Mitsamiouli,KM,-11.3847,43.2844,81.82,75,99,11.83,light rain
172,Agirish,RU,61.9247,63.0231,1.09,96,100,0.36,overcast clouds
173,Juuru,EE,59.0597,24.956,31.21,95,100,12.84,light snow
174,Ribeira Grande,PT,38.5167,-28.7,59.02,81,27,14.43,scattered clouds
175,Mayumba,GA,-3.432,10.6554,75.74,83,100,0.56,overcast clouds
176,Saldanha,ZA,-33.0117,17.9442,60.94,74,0,10.33,clear sky
177,Suntar,RU,62.1444,117.6319,-6.07,98,100,0.76,overcast clouds
178,Quiroga,MX,19.6667,-101.5333,52.97,57,33,3.2,scattered clouds
179,Atambua,ID,-9.1061,124.8925,80.89,74,96,4.43,overcast clouds
180,Vieux Fort,LC,13.7167,-60.95,74.77,78,0,13.15,clear sky
181,Innisfail,AU,-17.5333,146.0333,86.22,86,100,8.93,light rain
182,Mehamn,NO,71.0357,27.8492,19.65,84,100,30.4,overcast clouds
183,Scarborough,GB,54.2797,-0.4044,37.9,84,2,5.01,clear sky
184,Jagodina,RS,43.9814,21.2622,29.46,80,8,5.86,clear sky
185,Gat,IL,31.61,34.7642,56.08,100,83,11.79,broken clouds
186,Roma,US,43.2128,-75.4557,15.39,86,100,4.0,overcast clouds
187,Luau,AO,-10.7073,22.2247,60.33,99,100,3.42,overcast clouds
188,Havre-Saint-Pierre,CA,50.2334,-63.5986,1.96,78,100,15.95,overcast clouds
189,Isangel,VU,-19.55,169.2667,75.87,94,100,13.24,light rain
190,Chuy,UY,-33.6971,-53.4616,69.04,94,0,4.76,clear sky
191,Dikson,RU,73.5069,80.5464,-1.34,93,100,5.73,overcast clouds
192,Lebu,CL,-37.6167,-73.65,57.97,86,75,18.07,broken clouds
193,Hithadhoo,MV,-0.6,73.0833,81.66,73,99,11.43,overcast clouds
194,Linkoping,SE,58.4109,15.6216,35.58,91,20,10.36,few clouds
195,Saint-Philippe,RE,-21.3585,55.7679,80.19,89,100,25.64,moderate rain
196,Kupang,ID,-10.1667,123.5833,83.26,76,32,8.57,scattered clouds
197,Pimentel,PE,-6.8367,-79.9342,70.38,82,37,12.71,scattered clouds
198,Jaumave,MX,23.4167,-99.3833,40.95,64,9,2.73,clear sky
199,Khash,IR,28.2211,61.2158,47.86,18,0,1.99,clear sky
200,Tura,IN,25.5198,90.2201,54.64,93,27,1.79,scattered clouds
201,Rizhao,CN,35.4275,119.4553,31.5,26,2,12.5,clear sky
202,Cayenne,GF,4.9333,-52.3333,79.09,89,75,5.99,moderate rain
203,Meadow Lake,US,34.8014,-106.5436,27.81,77,0,3.27,clear sky
204,Christchurch,NZ,-43.5333,172.6333,57.94,82,100,4.61,moderate rain
205,Karpathos,GR,35.507,27.2132,51.76,66,2,36.82,clear sky
206,Port Blair,IN,11.6667,92.75,80.64,83,20,4.61,mist
207,Chulym,RU,55.0997,80.9572,10.31,85,95,10.54,overcast clouds
208,Gladenbach,DE,50.7667,8.5667,38.61,90,94,13.11,overcast clouds
209,Severo-Kurilsk,RU,50.6789,156.125,31.28,87,92,8.84,light snow
210,Launceston,AU,-41.45,147.1667,75.61,45,100,4.0,overcast clouds
211,Banyuwangi,ID,-8.2325,114.3576,79.12,80,87,1.43,overcast clouds
212,Viedma,AR,-40.8135,-62.9967,64.09,68,100,21.94,overcast clouds
213,San Andres,CO,12.5847,-81.7006,80.62,74,20,9.22,few clouds
214,Alto Longa,BR,-5.2511,-42.2103,72.84,93,39,3.74,moderate rain
215,Port-Cartier,CA,50.0334,-66.8654,-0.26,93,100,6.44,overcast clouds
216,Merauke,ID,-8.4667,140.3333,85.64,70,63,14.97,broken clouds
217,Cepu,ID,-7.1475,111.5906,82.58,77,50,6.51,scattered clouds
218,Ostersund,SE,63.1792,14.6357,25.25,80,18,11.5,few clouds
219,Provideniya,RU,64.3833,-173.3,2.71,63,2,9.22,clear sky
220,Hamadan,IR,34.7992,48.5146,32.54,87,98,7.74,snow
221,Palmer,US,42.1584,-72.3287,29.91,85,100,3.0,overcast clouds
222,Burnie,AU,-41.0667,145.9167,64.67,68,98,6.89,overcast clouds
223,Kargasok,RU,59.0556,80.8572,22.12,91,100,11.99,overcast clouds
224,Esik,KZ,43.3552,77.4525,18.82,55,0,8.81,clear sky
225,Kaputa,ZM,-8.4689,29.6619,65.77,90,100,2.13,overcast clouds
226,Berlevag,NO,70.8578,29.0864,21.09,80,100,28.43,light snow
227,Luena,AO,-11.7833,19.9167,61.9,96,100,7.18,overcast clouds
228,Havelock,US,34.8791,-76.9013,67.01,94,100,4.0,overcast clouds
229,Orotukan,RU,62.2667,151.7,-19.05,95,5,2.51,clear sky
230,Nyurba,RU,63.2842,118.3319,-18.09,98,94,1.9,overcast clouds
231,Carnarvon,AU,-24.8667,113.6333,100.47,13,11,14.97,few clouds
232,Mantua,IT,45.1667,10.7833,45.82,90,100,1.01,overcast clouds
233,Northam,GB,51.0333,-4.2167,45.61,75,8,12.24,clear sky
