City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed
0,Punta Arenas,CL,2022-02-04 01:30:50,-53.15,-70.9167,46.51,57,75,10.36
1,Westport,US,2022-02-04 01:31:06,41.1415,-73.3579,48.16,96,100,3.0
2,Bainbridge,US,2022-02-04 01:34:37,47.6262,-122.5212,49.28,87,100,1.99
3,Terrace Bay,CA,2022-02-04 01:34:37,48.7834,-87.1,-11.58,90,21,5.5
4,Vaini,TO,2022-02-04 01:32:26,-21.2,-175.2,86.16,79,75,11.5
5,Cape Town,ZA,2022-02-04 01:33:13,-33.9258,18.4232,62.28,64,20,3.0
6,Jiwani,PK,2022-02-04 01:34:38,25.05,61.7417,69.13,45,0,7.31
7,Aswan,EG,2022-02-04 01:34:38,24.0934,32.907,53.13,35,0,8.66
8,Berbera,SO,2022-02-04 01:34:39,10.4396,45.0143,72.52,68,0,3.15
9,Ushuaia,AR,2022-02-04 01:30:15,-54.8,-68.3,44.26,65,75,20.71
10,Rikitea,PF,2022-02-04 01:32:29,-23.1203,-134.9692,77.97,74,100,18.88
11,Saskylakh,RU,2022-02-04 01:34:39,71.9167,114.0833,-16.13,97,100,1.7
12,Kupino,RU,2022-02-04 01:34:39,54.3663,77.2981,4.39,91,28,10.07
13,Castro,BR,2022-02-04 01:34:40,-24.7911,-50.0119,65.12,98,100,5.37
14,Mataura,NZ,2022-02-04 01:33:41,-46.1927,168.8643,49.3,99,100,3.11
15,Norman Wells,CA,2022-02-04 01:34:40,65.282,-126.8329,-34.56,67,20,3.44
16,Hobart,AU,2022-02-04 01:33:28,-42.8794,147.3294,70.02,49,9,1.99
17,Qaanaaq,GL,2022-02-04 01:34:41,77.484,-69.3632,-14.31,56,98,8.25
18,Mecca,SA,2022-02-04 01:34:41,21.4267,39.8261,71.01,86,45,3.58
19,Barrow,US,2022-02-04 01:34:42,71.2906,-156.7887,-23.78,76,100,3.44
20,Ilulissat,GL,2022-02-04 01:34:42,69.2167,-51.1,19.42,49,100,16.11
21,Port Alfred,ZA,2022-02-04 01:32:21,-33.5906,26.891,69.71,74,96,16.46
22,Bafoulabe,ML,2022-02-04 01:34:42,13.8065,-10.8321,73.96,10,2,5.61
23,Senneterre,CA,2022-02-04 01:34:43,48.3835,-77.2328,-9.18,97,70,2.95
24,Yellowknife,CA,2022-02-04 01:34:43,62.456,-114.3525,-26.45,68,0,5.75
25,Bredasdorp,ZA,2022-02-04 01:32:14,-34.5322,20.0403,61.92,67,100,4.61
26,Saldanha,ZA,2022-02-04 01:34:44,-33.0117,17.9442,57.25,81,0,18.86
27,Zhigansk,RU,2022-02-04 01:34:44,66.7697,123.3711,-30.15,98,93,2.8
28,Dikson,RU,2022-02-04 01:34:44,73.5069,80.5464,-6.9,94,100,5.99
29,Trinidad,BO,2022-02-04 01:34:45,-14.8333,-64.9,74.79,92,82,4.88
30,Chuy,UY,2022-02-04 01:34:45,-33.6971,-53.4616,73.02,95,100,5.79
31,Port Lincoln,AU,2022-02-04 01:34:46,-34.7333,135.8667,67.06,60,44,15.73
32,Hithadhoo,MV,2022-02-04 01:34:46,-0.6,73.0833,81.61,73,100,10.25
33,Albany,US,2022-02-04 01:29:46,42.6001,-73.9662,39.31,91,100,4.0
34,Laukaa,RU,2022-02-04 01:34:46,58.7372,29.8453,0.23,100,100,1.61
35,Maniitsoq,GL,2022-02-04 01:34:47,65.4167,-52.9,12.2,82,100,21.32
36,Songea,TZ,2022-02-04 01:34:47,-10.6833,35.65,63.45,98,100,2.89
37,Mayo,US,2022-02-04 01:31:53,38.8876,-76.5119,59.11,96,100,7.0
38,Cidreira,BR,2022-02-04 01:34:48,-30.1811,-50.2056,75.87,88,80,23.58
39,Bonthe,SL,2022-02-04 01:34:48,7.5264,-12.505,75.97,88,2,2.98
40,Jamestown,US,2022-02-04 01:33:41,42.097,-79.2353,24.08,69,100,5.99
41,Makakilo City,US,2022-02-04 01:34:48,21.3469,-158.0858,80.92,45,0,14.97
42,Mragowo,PL,2022-02-04 01:34:49,53.8644,21.3051,32.0,98,100,9.17
43,Smolenka,RU,2022-02-04 01:34:49,52.1352,113.4974,-25.53,75,43,0.0
44,College,US,2022-02-04 01:34:49,64.8569,-147.8028,1.72,54,75,4.61
45,Havre,FR,2022-02-04 01:35:50,49.5833,0.3333,46.44,87,100,10.36
46,Marystown,CA,2022-02-04 01:35:50,47.1666,-55.1483,38.86,100,100,5.99
47,Lorengau,PG,2022-02-04 01:35:50,-2.0226,147.2712,84.72,64,100,9.08
48,Bismil,TR,2022-02-04 01:35:51,37.8486,40.6658,44.33,93,100,7.0
49,Saint-Philippe,RE,2022-02-04 01:34:56,-21.3585,55.7679,78.35,93,100,33.08
50,Cabo San Lucas,MX,2022-02-04 01:35:33,22.8909,-109.9124,70.11,57,20,10.36
51,Iracoubo,GF,2022-02-04 01:35:51,5.4802,-53.2011,76.3,89,100,9.62
52,Jining,CN,2022-02-04 01:35:52,35.405,116.5814,39.99,1,37,7.63
53,Busselton,AU,2022-02-04 01:35:52,-33.65,115.3333,82.53,35,67,15.57
54,Victor Harbor,AU,2022-02-04 01:32:25,-35.5667,138.6167,72.81,58,0,1.01
55,Severo-Kurilsk,RU,2022-02-04 01:33:08,50.6789,156.125,31.33,88,100,10.8
56,Fairbanks,US,2022-02-04 01:34:42,64.8378,-147.7164,1.74,54,100,9.22
57,Camacha,PT,2022-02-04 01:35:53,33.0833,-16.3333,62.53,94,20,8.05
58,Tasiilaq,GL,2022-02-04 01:32:21,65.6145,-37.6368,12.36,62,96,6.69
59,San Patricio,US,2022-02-04 01:33:36,28.017,-97.5169,35.83,75,100,18.37
60,Verkhoyansk,RU,2022-02-04 01:35:53,67.5447,133.385,-34.33,100,77,1.74
61,Hami,CN,2022-02-04 01:35:54,42.8,93.45,22.12,37,13,3.04
62,Goderich,CA,2022-02-04 01:32:33,43.7501,-81.7165,15.91,73,100,11.5
63,Bluff,NZ,2022-02-04 01:35:54,-46.6,168.3333,49.5,83,100,1.5
64,Atuona,PF,2022-02-04 01:35:54,-9.8,-139.0333,78.91,72,4,16.35
65,Mount Gambier,AU,2022-02-04 01:35:55,-37.8333,140.7667,71.51,43,100,16.11
66,Guanica,PR,2022-02-04 01:35:55,17.9716,-66.908,76.91,88,74,1.01
67,Manyana,BW,2022-02-04 01:35:55,-23.4,21.7167,68.16,70,22,6.76
68,Kapaa,US,2022-02-04 01:31:45,22.0752,-159.319,78.12,65,0,1.01
69,Namibe,AO,2022-02-04 01:35:56,-15.1961,12.1522,71.11,78,2,6.24
70,Merauke,ID,2022-02-04 01:35:56,-8.4667,140.3333,84.63,72,100,11.9
71,Pisco,PE,2022-02-04 01:33:28,-13.7,-76.2167,69.85,78,0,17.27
72,Talnakh,RU,2022-02-04 01:34:02,69.4865,88.3972,-13.54,98,79,7.2
73,Dukat,RU,2022-02-04 01:35:57,62.55,155.55,-7.87,73,6,8.63
74,Bengkulu,ID,2022-02-04 01:35:57,-3.8004,102.2655,78.3,83,98,3.15
75,Kavieng,PG,2022-02-04 01:35:39,-2.5744,150.7967,82.87,73,98,4.99
76,Hermanus,ZA,2022-02-04 01:35:58,-34.4187,19.2345,60.91,72,100,9.17
77,Lavrentiya,RU,2022-02-04 01:35:58,65.5833,-171.0,-0.15,60,0,20.49
78,Avarua,CK,2022-02-04 01:35:58,-21.2078,-159.775,84.25,79,40,19.57
79,Clarence Town,AU,2022-02-04 01:35:18,-32.5833,151.7833,73.81,67,34,11.07
80,Broome,US,2022-02-04 01:32:31,42.2506,-75.833,35.37,84,100,4.0
81,Elizabeth City,US,2022-02-04 01:35:59,36.2946,-76.2511,63.01,77,0,1.01
82,Kodiak,US,2022-02-04 01:35:59,57.79,-152.4072,40.51,87,100,6.91
83,Khatanga,RU,2022-02-04 01:36:00,71.9667,102.5,-32.51,100,90,4.41
84,Coihaique,CL,2022-02-04 01:34:52,-45.5752,-72.0662,60.75,67,75,4.61
85,Iqaluit,CA,2022-02-04 01:36:00,63.7506,-68.5145,-9.67,64,75,5.75
86,Barra Patuca,HN,2022-02-04 01:31:24,15.8,-84.2833,77.2,81,0,9.51
87,Luderitz,NA,2022-02-04 01:36:00,-26.6481,15.1594,68.23,70,1,15.12
88,Ambon,ID,2022-02-04 01:36:01,-3.6954,128.1814,84.34,79,40,4.61
89,Arraial Do Cabo,BR,2022-02-04 01:35:39,-22.9661,-42.0278,75.43,91,100,9.73
90,Longyearbyen,SJ,2022-02-04 01:36:01,78.2186,15.6401,13.84,73,75,10.36
91,Shelburne,CA,2022-02-04 01:36:02,44.0787,-80.2041,11.19,88,100,12.82
92,Katsuura,JP,2022-02-04 01:36:02,35.1333,140.3,46.11,66,100,10.22
93,Tiksi,RU,2022-02-04 01:32:34,71.6872,128.8694,-11.63,100,100,6.64
94,Henties Bay,NA,2022-02-04 01:37:03,-22.116,14.2845,66.85,88,5,7.18
95,Pionki,PL,2022-02-04 01:37:03,51.476,21.4499,35.19,61,100,8.03
96,Kahului,US,2022-02-04 01:33:25,20.8947,-156.47,83.46,60,0,17.27
97,Clyde River,CA,2022-02-04 01:37:03,70.4692,-68.5914,-7.37,77,100,39.12
98,Klaksvik,FO,2022-02-04 01:37:04,62.2266,-6.589,34.72,83,98,48.9
99,Krasnoselkup,RU,2022-02-04 01:37:04,65.7,82.4667,8.46,96,97,8.12
100,Vanimo,PG,2022-02-04 01:37:04,-2.6741,141.3028,83.44,70,52,3.36
101,Allapalli,IN,2022-02-04 01:37:05,19.4167,80.0667,66.79,91,4,3.58
102,Huarmey,PE,2022-02-04 01:37:05,-10.0681,-78.1522,71.67,81,22,7.76
103,Ribeira Grande,PT,2022-02-04 01:37:05,38.5167,-28.7,58.68,74,100,17.74
104,Kenitra,MA,2022-02-04 01:37:06,34.261,-6.5802,56.84,75,100,2.04
105,Torbay,CA,2022-02-04 01:37:06,47.6666,-52.7314,38.57,83,100,24.16
106,Aklavik,CA,2022-02-04 01:37:06,68.2191,-135.0107,-21.17,99,14,6.31
107,Beringovskiy,RU,2022-02-04 01:33:45,63.05,179.3167,0.86,77,100,18.43
108,Kokkola,FI,2022-02-04 01:37:07,63.8385,23.1307,5.16,88,100,1.01
109,Tevaitoa,PF,2022-02-04 01:37:07,-16.7833,-151.5,81.23,71,2,15.75
110,Tuktoyaktuk,CA,2022-02-04 01:34:56,69.4541,-133.0374,-20.2,76,75,11.5
111,Carora,VE,2022-02-04 01:37:08,10.1755,-70.0827,75.74,71,2,10.07
112,Cururupu,BR,2022-02-04 01:37:08,-1.8283,-44.8683,75.56,91,92,3.42
113,Itoman,JP,2022-02-04 01:37:09,26.1247,127.6694,63.37,96,75,20.71
114,Belmonte,BR,2022-02-04 01:33:09,-15.8631,-38.8828,81.1,81,92,6.46
115,Richards Bay,ZA,2022-02-04 01:36:57,-28.783,32.0377,76.14,94,92,6.26
116,Burgeo,CA,2022-02-04 01:37:09,47.6167,-57.6152,37.65,99,100,18.48
117,Nikolskoye,RU,2022-02-04 01:37:10,59.7035,30.7861,1.29,100,100,2.17
118,Berezanka,UA,2022-02-04 01:37:10,46.8526,31.388,25.27,80,46,11.12
119,Vestmannaeyjar,IS,2022-02-04 01:37:10,63.4427,-20.2734,27.37,66,11,35.77
120,Kayerkan,RU,2022-02-04 01:34:20,69.3497,87.7602,-13.79,97,56,5.95
121,Mar Del Plata,AR,2022-02-04 01:37:11,-38.0023,-57.5575,71.1,93,100,1.99
122,Never,FR,2022-02-04 01:37:11,46.9896,3.159,40.75,94,100,5.41
123,Puerto Ayora,EC,2022-02-04 01:35:00,-0.7393,-90.3518,75.54,92,8,3.0
124,Constitucion,CL,2022-02-04 01:33:43,-35.3333,-72.4167,58.17,94,37,4.68
125,Tavda,RU,2022-02-04 01:37:12,58.0425,65.2726,27.95,93,100,8.32
126,Ronne,DK,2022-02-04 01:37:12,55.1009,14.7066,40.91,93,100,11.5
127,Victoria,HK,2022-02-04 01:35:41,22.2855,114.1577,59.25,78,77,5.01
128,Maragogi,BR,2022-02-04 01:32:29,-9.0122,-35.2225,78.8,74,98,8.46
129,Severnoye,RU,2022-02-04 01:37:13,56.3491,78.3619,9.05,90,99,11.14
130,Port-Cartier,CA,2022-02-04 01:37:13,50.0334,-66.8654,5.76,73,100,7.85
131,Ponta Do Sol,PT,2022-02-04 01:37:13,32.6667,-17.1,66.0,75,37,4.36
132,Belaya Gora,RU,2022-02-04 01:37:14,68.5333,146.4167,-33.12,99,38,1.01
133,Ancud,CL,2022-02-04 01:37:14,-41.8697,-73.8203,61.23,96,44,3.18
134,Pacific Grove,US,2022-02-04 01:37:14,36.6177,-121.9166,59.76,78,0,1.99
135,Jackson,US,2022-02-04 01:36:16,42.4165,-122.8345,51.67,54,0,0.0
136,Statesboro,US,2022-02-04 01:37:15,32.4488,-81.7832,70.11,77,40,9.22
137,Copiapo,CL,2022-02-04 01:38:16,-27.3667,-70.3333,62.29,57,0,2.21
138,Butaritari,KI,2022-02-04 01:38:16,3.0707,172.7902,82.24,75,15,13.78
139,Haines Junction,CA,2022-02-04 01:38:16,60.7522,-137.5108,-2.25,71,100,1.14
140,Kampar,MY,2022-02-04 01:38:17,4.3,101.15,77.18,69,91,1.05
141,Upernavik,GL,2022-02-04 01:38:17,72.7868,-56.1549,3.79,66,100,6.04
142,Chaplynka,UA,2022-02-04 01:38:17,46.3651,33.5403,31.8,81,100,13.27
143,Umm Kaddadah,SD,2022-02-04 01:38:18,13.6017,26.6876,66.25,18,3,20.02
144,Ahipara,NZ,2022-02-04 01:34:51,-35.1667,173.1667,77.4,69,88,14.43
145,Kavaratti,IN,2022-02-04 01:33:32,10.5669,72.642,79.23,64,2,8.03
146,San Miguelito,PA,2022-02-04 01:38:18,9.0333,-79.5,80.42,76,20,3.0
147,Kukurecani,MK,2022-02-04 01:38:19,41.0956,21.3256,30.61,92,97,2.53
148,Nelson Bay,AU,2022-02-04 01:38:19,-32.7167,152.15,74.28,86,16,1.01
149,Chokurdakh,RU,2022-02-04 01:38:19,70.6333,147.9167,-27.36,100,70,1.05
150,Kaohsiung,TW,2022-02-04 01:38:20,22.6163,120.3133,65.03,86,75,1.99
151,Thinadhoo,MV,2022-02-04 01:38:20,0.5333,72.9333,81.82,70,62,8.34
152,Kaitangata,NZ,2022-02-04 01:36:52,-46.2817,169.8464,48.63,97,100,1.36
153,Caravelas,BR,2022-02-04 01:38:20,-17.7125,-39.2481,76.71,90,95,4.45
154,Hilo,US,2022-02-04 01:33:25,19.7297,-155.09,76.73,77,75,10.36
155,Provideniya,RU,2022-02-04 01:38:21,64.3833,-173.3,4.26,59,9,23.94
156,Pevek,RU,2022-02-04 01:35:38,69.7008,170.3133,-18.22,99,24,3.27
157,Cassilandia,BR,2022-02-04 01:38:21,-19.1133,-51.7342,73.45,88,100,1.86
158,Kununurra,AU,2022-02-04 01:37:51,-15.7667,128.7333,85.98,74,75,3.44
159,Flower Mound,US,2022-02-04 01:35:15,33.0146,-97.097,23.18,82,100,5.01
160,Salta,AR,2022-02-04 01:38:22,-24.7859,-65.4117,72.19,78,75,3.44
161,Paraiso,CR,2022-02-04 01:38:22,9.8383,-83.8656,67.06,96,73,3.18
162,Platteville,US,2022-02-04 01:38:23,42.7342,-90.4785,9.16,66,0,5.75
163,Airai,TL,2022-02-04 01:38:23,-8.9266,125.4092,71.64,67,77,4.41
164,New Norfolk,AU,2022-02-04 01:33:37,-42.7826,147.0587,69.66,36,1,1.99
165,Nome,US,2022-02-04 01:38:23,64.5011,-165.4064,6.87,52,0,29.93
166,Lompoc,US,2022-02-04 01:38:24,34.6391,-120.4579,58.68,71,0,8.05
167,Malinyi,TZ,2022-02-04 01:38:24,-8.9333,36.1333,71.98,99,100,2.1
168,Thompson,CA,2022-02-04 01:38:25,55.7435,-97.8558,-18.24,69,0,8.05
169,Sangar,RU,2022-02-04 01:38:25,63.9242,127.4739,-23.12,98,98,2.8
170,Bobrovka,RU,2022-02-04 01:38:25,54.047,61.7455,22.26,81,100,14.63
171,Te Anau,NZ,2022-02-04 01:38:26,-45.4167,167.7167,48.25,96,100,2.51
172,Ormara,PK,2022-02-04 01:38:26,25.2088,64.6357,66.88,25,0,10.83
173,Chiang Khong,TH,2022-02-04 01:38:26,20.2613,100.4046,66.63,41,10,1.77
174,Novaya Igirma,RU,2022-02-04 01:38:27,57.1334,103.9112,-1.07,97,100,4.52
175,Lagoa,PT,2022-02-04 01:38:27,39.05,-27.9833,57.76,74,100,13.2
176,Paamiut,GL,2022-02-04 01:38:27,61.994,-49.6678,19.4,95,100,10.04
177,Georgetown,MY,2022-02-04 01:33:41,5.4112,100.3354,82.33,87,20,5.99
178,Seoul,KR,2022-02-04 01:34:28,37.5683,126.9778,27.91,48,0,12.66
179,Rio Gallegos,AR,2022-02-04 01:38:28,-51.6226,-69.2181,48.25,61,75,10.36
180,Qandala,SO,2022-02-04 01:38:28,11.472,49.8728,72.12,52,6,3.83
181,Hun,LY,2022-02-04 01:38:29,29.1268,15.9477,47.3,80,0,5.14
182,Shakawe,BW,2022-02-04 01:38:29,-18.3667,21.85,64.04,91,51,4.07
183,Peniche,PT,2022-02-04 01:39:29,39.3558,-9.3811,54.63,85,97,5.14
184,Balsas,BR,2022-02-04 01:39:30,-7.5325,-46.0356,78.06,71,96,0.81
185,Mehamn,NO,2022-02-04 01:39:30,71.0357,27.8492,19.2,83,86,12.82
186,Askiz,RU,2022-02-04 01:39:30,53.1319,90.5264,-6.52,99,50,2.37
187,Riyadh,SA,2022-02-04 01:39:31,24.6877,46.7219,60.94,37,12,5.59
188,San Pedro,PH,2022-02-04 01:39:31,14.35,121.0167,84.31,65,20,2.3
189,Matamoros,MX,2022-02-04 01:39:31,25.5333,-103.25,71.71,26,20,5.75
190,Saint George,US,2022-02-04 01:36:16,37.1041,-113.5841,43.39,26,0,19.57
191,Bethel,US,2022-02-04 01:37:15,41.3712,-73.414,46.94,95,100,0.0
192,Kenai,US,2022-02-04 01:37:51,60.5544,-151.2583,25.14,92,100,25.32
193,Cayenne,GF,2022-02-04 01:34:55,4.9333,-52.3333,78.1,86,75,3.0
194,Alice Springs,AU,2022-02-04 01:39:32,-23.7,133.8833,72.95,35,97,18.41
195,Jaitaran,IN,2022-02-04 01:39:32,26.2031,73.9364,51.4,52,0,5.91
196,Agidel,RU,2022-02-04 01:39:33,55.9077,53.9355,31.41,99,100,4.7
197,Coquimbo,CL,2022-02-04 01:39:33,-29.9533,-71.3436,64.76,79,6,1.14
198,Vao,NC,2022-02-04 01:39:34,-22.6667,167.4833,75.33,92,100,4.54
199,Kiama,AU,2022-02-04 01:39:34,-34.6833,150.8667,75.99,62,79,17.34
200,San Cristobal,VE,2022-02-04 01:38:15,7.7669,-72.225,75.38,64,85,1.43
201,Sao Filipe,CV,2022-02-04 01:39:34,14.8961,-24.4956,73.02,75,0,9.48
202,Micheweni,TZ,2022-02-04 01:39:35,-4.9667,39.8333,80.1,80,98,10.92
203,Bilma,NE,2022-02-04 01:39:35,18.6853,12.9164,52.7,29,0,13.4
204,Comodoro Rivadavia,AR,2022-02-04 01:36:17,-45.8667,-67.5,60.66,94,40,3.44
205,Mahebourg,MU,2022-02-04 01:35:00,-20.4081,57.7,80.89,89,75,25.32
206,Hamilton,US,2022-02-04 01:35:01,39.1834,-84.5333,25.72,91,100,4.0
207,Rio Grande,BR,2022-02-04 01:39:36,-32.035,-52.0986,77.05,84,100,11.95
208,Wonthaggi,AU,2022-02-04 01:39:36,-38.6044,145.5913,73.2,57,6,14.56
209,Santa Marta,CO,2022-02-04 01:37:00,11.2408,-74.199,82.89,70,20,14.0
210,Aktash,RU,2022-02-04 01:39:37,50.3,87.7333,-20.18,83,34,4.7
211,Luba,GQ,2022-02-04 01:39:37,3.4568,8.5547,80.49,79,92,6.4
212,Santa Cruz,BO,2022-02-04 01:39:37,-17.8,-63.1667,76.46,88,40,9.22
213,Tommot,RU,2022-02-04 01:39:38,58.9564,126.2925,-6.63,91,100,7.74
214,Port Elizabeth,ZA,2022-02-04 01:38:02,-33.918,25.5701,67.1,73,98,13.82
215,Ceres,US,2022-02-04 01:39:38,37.5949,-120.9577,58.77,33,0,5.75
216,Warman,CA,2022-02-04 01:39:38,52.3168,-106.5679,-20.11,68,20,9.22
217,Mumford,GH,2022-02-04 01:39:39,5.2618,-0.759,79.03,83,19,6.58
218,Ust-Omchug,RU,2022-02-04 01:39:39,61.15,149.6333,-3.05,86,67,8.68
219,Tenali,IN,2022-02-04 01:39:39,16.2425,80.6398,71.69,83,50,3.58
220,Adrar,MR,2022-02-04 01:39:40,20.5022,-10.0711,60.93,19,0,10.22
221,Port Hardy,CA,2022-02-04 01:39:40,50.6996,-127.4199,45.75,87,75,14.97
222,Nohar,IN,2022-02-04 01:39:40,29.1833,74.7667,47.3,95,19,5.44
223,Zigong,CN,2022-02-04 01:39:41,29.3416,104.7769,47.35,71,89,4.12
224,Geraldton,AU,2022-02-04 01:35:15,-28.7667,114.6,97.21,12,0,23.02
225,Dao,PH,2022-02-04 01:39:41,11.3937,122.6856,79.81,84,90,12.73
226,Cedar City,US,2022-02-04 01:39:16,37.6775,-113.0619,25.77,49,0,14.97
227,Milton,US,2022-02-04 01:36:25,34.1322,-84.3007,65.64,96,100,3.0
228,Hit,IQ,2022-02-04 01:39:42,33.6416,42.8251,53.82,41,42,6.87
229,North Bend,US,2022-02-04 01:40:42,43.4065,-124.2243,49.15,95,0,8.05
230,Wanning,CN,2022-02-04 01:40:43,18.8003,110.3967,65.08,87,100,10.42
231,Guerrero Negro,MX,2022-02-04 01:36:09,27.9769,-114.0611,59.94,30,0,16.78
232,Nalut,LY,2022-02-04 01:40:43,30.3333,10.85,43.99,73,0,8.34
233,Luganville,VU,2022-02-04 01:40:43,-15.5333,167.1667,76.75,95,100,5.93
234,Hovd,MN,2022-02-04 01:40:44,48.0056,91.6419,-9.69,81,23,3.89
235,Nanortalik,GL,2022-02-04 01:40:44,60.1432,-45.2371,26.62,95,100,11.25
236,Esperance,AU,2022-02-04 01:40:05,-33.8667,121.9,76.84,48,2,9.08
237,Antofagasta,CL,2022-02-04 01:36:03,-23.65,-70.4,65.48,78,6,5.68
238,Puerto Rondon,CO,2022-02-04 01:40:45,6.2805,-71.1,83.46,51,94,4.47
239,Prince Rupert,CA,2022-02-04 01:40:04,54.3161,-130.3201,44.69,87,100,16.11
240,Kruisfontein,ZA,2022-02-04 01:40:45,-34.0033,24.7314,64.89,80,62,9.19
241,Fethiye,TR,2022-02-04 01:40:45,36.6217,29.1164,44.47,77,50,7.74
242,Dingle,PH,2022-02-04 01:40:46,10.9995,122.6711,81.09,77,75,16.82
243,Neryungri,RU,2022-02-04 01:40:46,56.6709,124.6491,-7.83,93,100,12.17
244,Mankono,CI,2022-02-04 01:40:46,8.0586,-6.1897,69.62,13,0,3.67
245,Ikom,NG,2022-02-04 01:40:47,5.9667,8.7063,72.05,66,22,0.74
246,Oussouye,SN,2022-02-04 01:40:47,12.485,-16.5469,70.63,73,0,6.17
247,Half Moon Bay,US,2022-02-04 01:40:47,37.4636,-122.4286,60.08,65,0,1.99
248,Vostok,RU,2022-02-04 01:40:48,46.4856,135.8833,0.07,85,98,4.09
249,Tocopilla,CL,2022-02-04 01:40:48,-22.092,-70.1979,69.91,72,20,9.98
250,Kalmunai,LK,2022-02-04 01:40:49,7.4167,81.8167,74.43,81,7,3.2
251,Cap Malheureux,MU,2022-02-04 01:40:49,-19.9842,57.6142,81.09,84,100,10.0
252,Manono,CD,2022-02-04 01:40:49,-7.3,27.4167,67.41,98,100,2.98
253,Carnarvon,AU,2022-02-04 01:40:50,-24.8667,113.6333,96.87,23,13,12.66
254,Baijiantan,CN,2022-02-04 01:38:04,45.6333,85.1833,0.05,91,71,3.13
255,Paso De Los Toros,UY,2022-02-04 01:40:50,-32.8167,-56.5167,72.9,82,100,4.59
256,Mogadishu,SO,2022-02-04 01:40:51,2.0371,45.3438,75.9,79,5,19.55
257,Hofn,IS,2022-02-04 01:39:51,64.2539,-15.2082,29.48,57,100,22.37
258,Codrington,AU,2022-02-04 01:40:51,-38.2667,141.9667,65.52,62,81,15.01
259,Sitka,US,2022-02-04 01:36:15,57.0531,-135.33,44.49,87,100,18.41
260,Jaypur,IN,2022-02-04 01:40:51,18.85,82.5833,64.56,72,6,2.08
261,San Francisco,US,2022-02-04 01:37:17,37.7749,-122.4194,60.06,71,75,1.01
262,Flinders,AU,2022-02-04 01:40:52,-34.5833,150.8552,75.79,59,77,15.99
263,Puerto Baquerizo Moreno,EC,2022-02-04 01:40:52,-0.9,-89.6,75.07,82,8,7.96
264,Otaru,JP,2022-02-04 01:40:53,43.1894,141.0022,28.24,72,100,17.05
265,Balad,IQ,2022-02-04 01:40:53,34.0164,44.1453,55.67,33,100,11.9
266,Saint-Pierre,RE,2022-02-04 01:40:53,-21.3393,55.4781,80.24,86,100,18.86
267,Cam Ranh,VN,2022-02-04 01:40:54,11.9214,109.1591,75.16,78,40,13.8
268,San Vicente,AR,2022-02-04 01:36:31,-26.6167,-54.1333,68.81,99,100,5.19
269,Deputatskiy,RU,2022-02-04 01:40:54,69.3,139.9,-24.29,97,49,2.04
270,Fort Nelson,CA,2022-02-04 01:40:41,58.8053,-122.7002,-11.61,77,100,4.61
271,Tomatlan,MX,2022-02-04 01:40:55,19.9333,-105.25,66.38,76,78,1.66
272,Srednekolymsk,RU,2022-02-04 01:41:55,67.45,153.6833,-29.2,99,47,1.21
273,Oistins,BB,2022-02-04 01:37:20,13.0667,-59.5333,77.09,65,20,12.66
